StartDate,EndDate,Duration,Latitude,Longitude,Age,Sex,Race,ruralurban,Religion,Socioeconomic,workhours,Remote,Relationship_status,Relationship_qual,FOMO_1,FOMO_2,FOMO_3,FOMO_4,FOMO_5,FOMO_6,FOMO_7,FOMO_8,FOMO_9,FOMO_10,FOMO_11,socialhours,posting,social_likes,socialeffort,irl,socialengage,socialinfo,familyclose,friendclose,community,Anxiety,valued_1,valued_2,valued_3,valued_4,FOMO
2024-03-31T09:13:10Z,2024-03-31T09:20:40Z,450,46.0113,-122.8184,28,Non binary,Multiracial,Suburb,10,20,40,In person,Dating,4,4,4,2,1,3,3,3,1,3,2,3,4,4,2,4,70,4,Friends,0,4,100,80,20,80,70,10,2.6
2024-03-31T14:11:47Z,2024-03-31T14:17:01Z,314,45.7168,-122.6899,34,Female,White,Suburb,60,80,45,In person,Partnered,4,1,1,1,1,3,1,2,2,4,2,1,2,1,5,5,90,4,Hobbies,3,1,50,25,75,50,90,30,1.8
2024-04-01T13:34:24Z,2024-04-01T13:41:54Z,449,45.6652,-122.5215,21,Female,Hispanic,Urban,100,40,22,In person,Partnered,4,4,4,2,1,1,1,1,1,1,1,3,3,NA,20,NA,10,2,Family,5,NA,NA,20,100,90,100,100,1.7
2024-04-02T05:43:36Z,2024-04-02T05:46:56Z,199,45.5242,-122.6684,45,Male,White,Rural,9,23,9,Remote,Partnered,5,1,1,1,1,1,1,1,1,1,1,3,5,3,29,11,13,1,Work,4,4,2,1,66,33,30,30,1
2024-04-02T07:00:37Z,2024-04-02T07:02:02Z,85,40.8011,-75.9774,33,Male,Black,Rural,100,91,40,Remote,Partnered,5,1,1,1,1,1,1,1,1,1,1,1,0.5,0,0,0,0,0,Hobbies,2,1,0,0,100,100,100,100,1
2024-04-02T07:00:35Z,2024-04-02T07:02:08Z,92,40.3323,-80.0806,42,Female,White,Suburb,1,102,40,In person,Partnered,4,4,4,4,4,4,3,3,2,3,2,4,4.8,2,4,14,56,10,Friends,1,3,18,99,21,37,23,29,3.3
2024-04-02T07:00:37Z,2024-04-02T07:02:09Z,91,33.8838,-118.1261,24,Female,Asian,Urban,0,55,0,Do not work,Single,NA,1,1,1,1,1,1,1,1,3,1,1,1,0,0,0,0,0,Nothing,0,1,0,80,0,0,0,0,1.2
2024-04-02T07:00:39Z,2024-04-02T07:02:27Z,108,39.3248,-76.6062,28,Male,White,Urban,40,29,40,In person,Dating,4,4,4,4,4,5,4,4,4,4,4,4,3,2,10,24,10,2,Hobbies,4,1,16,31,69,55,63,66,4.1
2024-04-02T07:00:51Z,2024-04-02T07:02:31Z,100,35.7697,-79.177,34,Female,White,Suburb,59,47,44,Remote,Partnered,5,2,1,1,1,1,1,2,3,2,2,1,2.1,3,20,25,82,1,Family,4,10,3,7,63,92,92,38,1.6
2024-04-02T07:00:41Z,2024-04-02T07:02:32Z,110,30.45,-81.6624,47,Male,White,Urban,81,127,40,In person,Partnered,5,1,1,1,1,2,1,1,1,1,1,1,0.3,0,0,0,0,0,Hobbies,8,5,88,0,100,100,100,0,1.1
2024-04-02T07:00:31Z,2024-04-02T07:02:32Z,121,34.156,-79.3906,29,Male,White,Rural,0,50,0,Do not work,Single,NA,3,1,1,1,1,3,1,1,1,1,3,0.5,0,0,0,0,0,Global news,1,0,0,90,10,0,0,0,1.4
2024-04-02T07:00:34Z,2024-04-02T07:02:37Z,123,40.5828,-73.9532,26,Male,White,Urban,39,47,22,In person,Single,NA,1,1,1,1,2,1,2,2,2,1,3,2,1,10,30,50,2,Friends,2,3,20,10,100,80,75,60,1.4
2024-04-02T07:00:44Z,2024-04-02T07:02:42Z,118,42.1431,-76.0506,36,Male,White,Suburb,0,140,40,In person,Partnered,5,1,1,1,1,1,1,1,1,3,1,2,3,3,31,62,72,2,National news,1,6,51,9,100,100,92,62,1.2
2024-04-02T07:01:00Z,2024-04-02T07:02:44Z,103,32.8856,-97.1479,41,Female,White,Suburb,1,70,33,Remote,Single,NA,1,1,1,1,1,1,1,1,1,1,1,0.7,0,6,1,1,0,Hobbies,1,4,1,2,72,71,40,26,1
2024-04-02T07:00:39Z,2024-04-02T07:02:49Z,130,42.3291,-71.1815,25,Female,Asian,Urban,10,50,40,Remote,Partnered,5,1,1,1,1,1,1,1,1,1,1,1,0.5,0,100,11,50,1,Friends,2,5,46,61,86,87,66,48,1
2024-04-02T07:01:02Z,2024-04-02T07:02:50Z,107,41.8388,-87.7891,48,Male,White,Suburb,65,86,33,In person,Single,NA,3,3,2,3,1,4,3,2,4,4,3,2.1,3,16,20,27,1,Friends,2,3,17,14,20,34,44,30,2.9
2024-04-02T07:00:36Z,2024-04-02T07:02:51Z,135,41.6868,-81.3399,36,Male,White,Suburb,0,15,0,Do not work,Single,NA,5,5,5,5,5,5,5,3,5,4,5,2.4,32,0,80,0,6,Local news,2,0,0,100,50,0,0,0,4.7
2024-04-02T07:00:55Z,2024-04-02T07:02:53Z,118,40.7123,-74.0068,40,Male,White,Urban,0,50,41,In person,Single,NA,1,1,1,1,1,1,4,2,3,1,2,2,2,3,1,90,1,Friends,3,2,0,100,50,100,50,51,1.6
2024-04-02T07:00:40Z,2024-04-02T07:02:56Z,135,34.9071,-81.0073,61,Male,White,Suburb,0,151,40,Remote,Partnered,5,1,1,1,1,2,1,1,1,2,1,1,0.5,0,0,0,100,0,Family,15,2,0,0,100,100,100,100,1.2
2024-04-02T07:00:39Z,2024-04-02T07:03:03Z,144,39.1027,-94.5778,35,Male,White,Suburb,2,154,40,In person,Partnered,5,3,3,4,1,4,1,4,1,4,1,2,0.5,0,5,10,100,1,Friends,6,1,30,50,100,90,40,40,2.6
2024-04-02T07:00:50Z,2024-04-02T07:03:07Z,136,40.921,-98.3914,29,Male,White,Suburb,87,150,40,In person,Partnered,4,3,4,4,2,4,3,3,1,4,3,3,3,10,25,60,50,4,Friends,1,6,72,87,11,84,62,33,3.1
2024-04-02T07:01:22Z,2024-04-02T07:03:07Z,105,28.1355,-82.4605,34,Female,White,Suburb,10,74,40,In person,Partnered,5,1,1,1,1,1,1,1,1,1,1,1,1.8,3,6,49,74,2,Friends,8,3,0,3,96,93,89,85,1
2024-04-02T07:01:15Z,2024-04-02T07:03:08Z,112,35.8437,-86.3881,30,Male,White,Suburb,0,120,45,In person,Single,NA,1,1,1,1,1,1,2,1,1,1,1,1,1,25,10,85,0,Family,3,6,39,8,72,63,85,14,1.1
2024-04-02T07:00:35Z,2024-04-02T07:03:08Z,153,45.0702,-93.4556,36,Female,White,Suburb,0,34,30,Remote,Dating,3,3,3,1,1,2,1,1,1,2,1,1,0.5,2,2,10,5,1,National news,3,2,10,35,67,59,30,50,1.6
